[1715084292.009115] [cpn3033:1203775:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.009319] [cpn3033:1203791:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.009916] [cpn3033:1203767:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.010243] [cpn3033:1203754:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.010459] [cpn3033:1203774:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.011926] [cpn3033:1203772:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.012050] [cpn3033:1203753:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.012116] [cpn3033:1203783:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.013109] [cpn3033:1203752:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.014046] [cpn3039:859283:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.015466] [cpn3039:859311:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.015532] [cpn3039:859322:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.015637] [cpn3039:859312:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.015649] [cpn3039:859318:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.018352] [cpn3039:859310:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.019674] [cpn3039:859293:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.021550] [cpn3039:859303:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.021568] [cpn3039:859306:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.021688] [cpn3039:859294:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.021795] [cpn3033:1203797:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.021866] [cpn3033:1203796:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.021968] [cpn3033:1203795:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.022821] [cpn3039:859279:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.023113] [cpn3039:859314:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.024672] [cpn3039:859276:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.026599] [cpn3033:1203784:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.028690] [cpn3039:859319:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.029620] [cpn3039:859282:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.030629] [cpn3039:859270:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
